,Item,Pronunciation,Phonology,Frequency,Length
506,alteration,AO L T AH R EY SH IH N,cltxreSIn,0.71,9
507,altercation,AO L T AH R K EY SH IH N,cltxrkeSIn,0.73,10
508,alternate,AO L T AH R EY T,cltxret,3.53,7
509,alternation,AO L T AH R N EY SH IH N,cltxrneSIn,0.04,10
510,alternative,AO L T AH R N IH T IH V,cltxrnItIv,9.33,10
511,although,AO L DH OW,clDo,42.02,4
512,altitude,AE L T IH T UW D,AltItud,3.88,7
513,alto,AE L T OW,Alto,1.35,4
514,altogether,AO L T IH G EH DH AH R,cltIgEDxr,6.41,9
515,altruism,AE L T R UW IH Z AH M,AltruIzxm,0.22,9
516,alum,AE L AH M,Alxm,0.14,4
517,aluminum,AH L UW M IH N AH M,xlumInxm,2.25,8
518,alumna,AH L AH M N AH,xlxmnx,0.02,6
519,alumnus,AH L AH M N IH S,xlxmnIs,0.47,7
520,alveolar,AE L V IY AH L AH R,Alvixlxr,0.08,8
521,alveolus,AE L V IY AH L AH S,Alvixlxs,0.02,8
522,always,AO L W AH Z,clwxz,655.25,5
523,amalgamation,AH M AE L G AH M EY SH AH N,xmAlgxmeSxn,0.12,11
524,amanuensis,AH M AE N Y UH EH N S IH S,xmAnyUEnsIs,0.04,11
525,amass,AH M AE S,xmAs,0.06,4
526,amassing,AH M AE S IH NG,xmAsIG,0.16,6
527,amateur,AE M AH CH AH R,AmxCxr,6.55,6
528,amateurish,AE M AH CH AH R IH SH,AmxCxrIS,0.37,8
529,amaze,AH M EY Z,xmez,1.61,4
530,amazement,AH M EY Z M AH N T,xmezmxnt,0.71,8
531,amazing,AH M EY Z IH NG,xmezIG,81.71,6
532,amazingly,AH M EY Z IH NG L IY,xmezIGli,1.78,8
533,amazon,AE M AH Z AA N,Amxzan,2.9,6
534,ambassador,AE M B AE S AH D AH R,AmbAsxdxr,13.51,9
535,amber,AE M B AH R,Ambxr,9.27,5
536,ambiance,AE M B IY AH N S,Ambixns,0.16,7
537,ambidextrous,AE M B IH D EH K S T R IH S,AmbIdEkstrIs,0.24,12
538,ambiguity,AE M B AH G Y UW IH T IY,AmbxgyuIti,0.27,10
539,ambiguous,AE M B IH G Y UW AH S,AmbIgyuxs,0.73,9
540,ambition,AE M B IH SH IH N,AmbISIn,5.35,7
541,ambitious,AE M B IH SH IH S,AmbISIs,4.76,7
542,ambivalence,AE M B IH V AH L AH N S,AmbIvxlxns,0.24,10
543,ambivalent,AE M B IH V AH L AH N T,AmbIvxlxnt,0.24,10
544,amble,AE M B AH L,Ambxl,0.1,5
545,ambrosial,AE M B R OW ZH AH L,AmbroZxl,0.02,8
546,ambulance,AE M B Y UH L AH N S,AmbyUlxns,22.41,9
547,ambulatory,AE M B Y UH L IH T OW R IY,AmbyUlItori,0.24,11
548,ambush,AE M B UH SH,AmbUS,5.43,5
549,amen,EY M EH N,emEn,25.98,4
550,amenable,AH M EH N AH B AH L,xmEnxbxl,0.18,8
551,amend,AH M EH N D,xmEnd,0.75,5
552,amendment,AH M EH N D M AH N T,xmEndmxnt,4.1,9
553,amiable,EY M IY AH B AH L,emixbxl,0.59,7
554,amicable,AE M IH K AH B AH L,AmIkxbxl,0.25,8
555,amicus,AH M IY K AH S,xmikxs,0.02,6
556,amid,AH M IH D,xmId,0.88,4
557,amidst,AH M IH D S T,xmIdst,0.69,6
558,amigo,AH M IY G OW,xmigo,5.08,5
559,amino,AH M IY N OW,xmino,0.61,5
560,amiss,AH M IH S,xmIs,0.75,4
561,amity,AE M AH T IY,Amxti,0.53,5
562,ammo,AE M OW,Amo,5.37,3
563,ammoniac,AH M OW N IY AE K,xmoniAk,0.02,7
564,ammonium,AH M OW N IY AH M,xmonixm,0.51,7
565,ammunition,AE M Y UW N IH SH IH N,AmyunISIn,5.88,9
566,among,AH M AH NG,xmxG,33.9,4
567,amongst,AH M AH NG S T,xmxGst,7.14,6
568,amoral,EY M AO R AH L,emcrxl,0.2,6
569,amorality,EY M AH R AE L IH T IY,emxrAlIti,0.04,9
570,amorous,AE M AH R AH S,Amxrxs,0.92,6
571,amorphous,AH M AO R F AH S,xmcrfxs,0.14,7
572,amortization,AE M AH R T AH Z EY SH IH N,AmxrtxzeSIn,0.14,11
573,amortize,AE M AH R T AY Z,AmxrtYz,0.08,7
574,amount,AH M AW N T,xmWnt,24.75,5
575,amp,AE M P,Amp,1.82,3
576,amphetamine,AE M F EH T AH M IY N,AmfEtxmin,0.29,9
577,amphibious,AE M F IH B IY AH S,AmfIbixs,0.59,8
578,amphitheater,AE M F AH TH IY AH T AH R,AmfxTixtxr,0.1,10
579,ample,AE M P AH L,Ampxl,1.82,5
580,amplification,AE M P L AH F AH K EY SH IH N,AmplxfxkeSIn,0.16,12
581,amplifier,AE M P L AH F AY AH R,AmplxfYxr,0.31,9
582,amplify,AE M P L AH F AY,AmplxfY,0.37,7
583,amplitude,AE M P L IH T UW D,AmplItud,0.12,8
584,amply,AE M P L IY,Ampli,0.35,5
585,amputate,AE M P Y UW T EY T,Ampyutet,0.86,8
586,amulet,AE M Y UH L AH T,AmyUlxt,2.31,7
587,amuse,AH M Y UW Z,xmyuz,2.61,5
588,amusement,AH M Y UW Z M AH N T,xmyuzmxnt,3.75,9
589,amusing,AH M Y UW Z IH NG,xmyuzIG,9.2,7
590,amusingly,AH M Y UW Z IH NG L IY,xmyuzIGli,0.08,9
591,an,AE N,An,1864.14,2
592,anachronism,AH N AE K R AH N IH Z AH M,xnAkrxnIzxm,0.1,11
593,anaconda,AE N AH K AA N D AH,Anxkandx,0.47,8
594,anaerobic,AE N AH R OW B IH K,AnxrobIk,0.08,8
595,anaesthesia,AE N IH S TH IY ZH AH,AnIsTiZx,0.29,8
596,anagram,AE N AH G R AE M,AnxgrAm,0.51,7
597,analeptic,AE N AH L EH P T IH K,AnxlEptIk,0.02,9
598,analogous,AH N AE L AH G IH S,xnAlxgIs,0.08,8
599,analogue,AE N AH L AO G,Anxlcg,0.1,6
600,analogy,AH N AE L AH JH IY,xnAlxJi,1.14,7
601,analysis,AH N AE L IH S IH S,xnAlIsIs,11.04,8
602,analyst,AE N AH L AH S T,Anxlxst,3.47,7
603,analytic,AE N AH L IH T IH K,AnxlItIk,0.08,8
604,analytical,AE N AH L IH T IH K AH L,AnxlItIkxl,0.59,10
605,analyzable,AE N AH L AY Z AH B AH L,AnxlYzxbxl,0.02,10
606,analyze,AE N AH L AY Z,AnxlYz,3.24,6
607,analyzer,AE N AH L AY Z AH R,AnxlYzxr,0.51,8
608,anarchic,AE N AA R K IH K,AnarkIk,0.04,7
609,anarchist,AE N AH R K IH S T,AnxrkIst,0.57,8
610,anarchy,AE N AH R K IY,Anxrki,2.02,6
611,anastomosis,AH N AE S T AH M OW S IH S,xnAstxmosIs,0.33,11
612,anatomic,AE N IH T AA M IH K,AnItamIk,0.08,8
613,anatomical,AE N AH T AA M IH K AH L,AnxtamIkxl,0.31,10
614,anatomy,AH N AE T AH M IY,xnAtxmi,3.2,7
615,ancestor,AE N S EH S T AH R,AnsEstxr,1.69,8
616,ancestral,AE N S EH S T R AH L,AnsEstrxl,0.57,9
617,ancestry,AE N S EH S T R IY,AnsEstri,0.47,8
618,anchor,AE NG K AH R,AGkxr,7.41,5
619,anchorage,AE NG K AH R IH JH,AGkxrIJ,0.71,7
620,anchovy,AE N CH OW V IY,AnCovi,0.14,6
621,ancient,EY N SH IH N T,enSInt,21.67,6
622,ancillary,AE N S AH L EH R IY,AnsxlEri,0.22,8
623,and,AE N D,And,13387.84,3
624,anecdotal,AE N IH K D OW T AH L,AnIkdotxl,0.37,9
625,anecdote,AE N IH K D OW T,AnIkdot,1.08,7
626,anemia,AH N IY M IY AH,xnimix,0.69,6
627,anemic,AH N IY M IH K,xnimIk,0.63,6
628,anesthetic,AE N IH S TH EH T IH K,AnIsTEtIk,1.33,9
629,angel,EY N JH AH L,enJxl,78.27,5
630,angelic,AE N JH EH L IH K,AnJElIk,0.57,7
631,angelica,AE N JH EH L AH K AH,AnJElxkx,1.67,8
632,anger,AE NG G AH R,AGgxr,19.43,5
633,angle,AE NG G AH L,AGgxl,14.92,5
634,angriest,AE NG G R IY AH S T,AGgrixst,0.16,8
635,angry,AE NG G R IY,AGgri,58.98,5
636,anguish,AE NG G W IH SH,AGgwIS,2.16,6
637,angular,AE NG G Y UH L AH R,AGgyUlxr,0.14,8
638,aniline,AE N AH L AH N,Anxlxn,0.12,6
639,animal,AE N IH M AH L,AnImxl,45.49,6
640,animate,AE N AH M EY T,Anxmet,0.06,6
641,animation,AE N AH M EY SH IH N,AnxmeSIn,1.22,8
642,animosity,AE N AH M AA S IH T IY,AnxmasIti,0.61,9
643,anion,AE N AY AH N,AnYxn,0.02,5
644,anise,AE N IH S,AnIs,0.06,4
645,ankle,AE NG K AH L,AGkxl,8.02,5
646,annal,AE N AH L,Anxl,0.02,4
647,annex,AH N EH K S,xnEks,0.84,5
648,annihilate,AH N AY AH L EY T,xnYxlet,0.71,7
649,annihilation,AH N AY AH L EY SH AH N,xnYxleSxn,0.8,9
650,anniversary,AE N AH V AH R S AH R IY,Anxvxrsxri,18.41,10
651,announce,AH N AW N S,xnWns,9.76,5
652,announcement,AH N AW N S M AH N T,xnWnsmxnt,10.29,9
653,announcer,AH N AW N S AH R,xnWnsxr,11.25,7
654,annoy,AH N OY,xnO,2.51,3
655,annoyance,AH N OY AH N S,xnOxns,0.49,6
656,annoying,AH N OY IH NG,xnOIG,11.12,5
657,annual,AE N Y UW AH L,Anyuxl,7.2,6
658,annum,AE N AH M,Anxm,0.1,4
659,anode,AE N OW D,Anod,0.16,4
660,anomalous,AH N AA M AH L AH S,xnamxlxs,0.33,8
661,anomaly,AH N AA M AH L IY,xnamxli,1.24,7
662,anonymity,AE N IH N IH M AH T IY,AnInImxti,0.9,9
663,anonymous,AH N AA N AH M AH S,xnanxmxs,8.41,8
664,anorexia,AE N AH R EH K S IY AH,AnxrEksix,0.25,9
665,another,AH N AH DH AH R,xnxDxr,509.22,6
666,answer,AE N S AH R,Ansxr,176.2,5
667,answerable,AE N S AH R AH B AH L,Ansxrxbxl,0.18,9
672,antagonism,AE N T AE G IH N IH Z AH M,AntAgInIzxm,0.22,11
673,antagonist,AE N T AE G IH N IH S T,AntAgInIst,0.25,10
674,antagonistic,AE N T AE G AH N IH S T IH K,AntAgxnIstIk,0.43,12
675,antagonize,AE N T AE G AH N AY Z,AntAgxnYz,0.53,9
676,ante,AE N T IY,Anti,2.18,4
677,anteater,AE N T IY T AH R,Antitxr,0.22,7
678,antecedent,AE N T IH S IY D AH N T,AntIsidxnt,0.06,10
679,antelope,AE N T AH L OW P,Antxlop,0.98,7
680,antenna,AE N T EH N AH,AntEnx,2.39,6
681,anterior,AE N T IH R IY AH R,AntIrixr,0.94,8
682,anthem,AE N TH AH M,AnTxm,1.88,5
683,anthology,AE N TH AA L AH JH IY,AnTalxJi,0.27,8
684,anthropological,AE N TH R AH P AH L AA JH IH K AH L,AnTrxpxlaJIkxl,0.51,14
685,anthropologist,AE N TH R AH P AA L AH JH IH S T,AnTrxpalxJIst,1.04,13
686,anthropology,AE N TH R AH P AA L AH JH IY,AnTrxpalxJi,1.31,11
687,anti,AE N T AY,AntY,0.51,4
688,antibiotic,AE N T IH B AY AA T IH K,AntIbYatIk,0.65,10
689,antibody,AE N T IH B AA D IY,AntIbadi,0.25,8
690,antic,AE N T IH K,AntIk,0.08,5
691,anticipate,AE N T IH S AH P EY T,AntIsxpet,2.53,9
692,anticipation,AE N T IH S AH P EY SH AH N,AntIsxpeSxn,2.49,11
693,anticipatory,AE N T IH S AH P AH T OW R IY,AntIsxpxtori,0.12,12
694,antidote,AE N T IH D OW T,AntIdot,4.33,7
695,antigen,AE N T IH JH AH N,AntIJxn,0.37,7
696,antipathy,AE N T IH P AH TH IY,AntIpxTi,0.08,8
697,antipodes,AE N T IH P AH D IY Z,AntIpxdiz,0.04,9
698,antiquarian,AE N T IH K W EH R IY AH N,AntIkwErixn,0.04,11
699,antiquated,AE N T IH K W EY T IH D,AntIkwetId,0.55,10
700,antique,AE N T IY K,Antik,6.06,5
701,antiquity,AE N T IH K W AH T IY,AntIkwxti,0.27,9
702,antiseptic,AE N T IH S EH P T IH K,AntIsEptIk,0.86,10
703,antiserum,AE N T IH S IH R AH M,AntIsIrxm,0.18,9
704,antisocial,AE N T IH S OW SH AH L,AntIsoSxl,0.8,9
705,antithesis,AE N T IH TH IH S IH S,AntITIsIs,0.31,9
706,antithetical,AE N T AH TH EH T IH K AH L,AntxTEtIkxl,0.04,11
707,anvil,AE N V AH L,Anvxl,0.63,5
708,anxiety,AE NG Z AY AH T IY,AGzYxti,6.76,7
709,anxious,AE NG SH IH S,AGSIs,14.1,5
710,any,EH N IY,Eni,1099.37,3
711,anybody,EH N IY B AA D IY,Enibadi,226.92,7
712,anyone,EH N IY W AH N,Eniwxn,255.25,6
713,anything,EH N IY TH IH NG,EniTIG,907.25,6
714,anywhere,EH N IY HH W AE R,EnihwAr,88.25,7
715,aorta,EY AO R T AH,ecrtx,1.53,5
716,apartheid,AH P AA R T EY T,xpartet,0.37,7
717,apartment,AH P AA R T M AH N T,xpartmxnt,83.04,9
718,apathetic,AE P AH TH EH T IH K,ApxTEtIk,0.35,8
719,apathy,AE P AH TH IY,ApxTi,0.47,5
720,ape,EY P,ep,9.67,2
721,aperture,AE P AH R CH AH R,ApxrCxr,0.27,7
722,apex,EY P EH K S,epEks,0.84,5
723,aplomb,AH P L AH M,xplxm,0.16,5
724,apocalypse,AH P AA K AH L IH P S,xpakxlIps,2.47,9
725,apocalyptic,AH P AA K AH L IH P T IH K,xpakxlIptIk,0.35,11
726,apogee,AE P AH JH IY,ApxJi,0.08,5
727,apologetic,AH P AA L AH JH EH T IH K,xpalxJEtIk,0.43,10
728,apologist,AH P AA L AH JH IH S T,xpalxJIst,0.02,9
729,apologize,AH P AA L AH JH AY Z,xpalxJYz,49.37,8
730,apology,AH P AA L AH JH IY,xpalxJi,15.76,7
731,apostate,AH P AA S T EY T,xpastet,0.06,7
732,apostle,AH P AA S AH L,xpasxl,1.39,6
733,apothecary,AH P AA TH AH K EH R IY,xpaTxkEri,0.39,9
734,apotheosis,AH P AA TH IY OW S IH S,xpaTiosIs,0.08,9
735,appalling,AH P AO L IH NG,xpclIG,1.94,6
736,appallingly,AH P AO L IH NG L IY,xpclIGli,0.06,8
737,apparatus,AE P AH R AE T IH S,ApxrAtIs,1.51,8
738,apparel,AH P AE R AH L,xpArxl,0.69,6
739,apparent,AH P AE R AH N T,xpArxnt,4.22,7
740,apparently,AH P AE R AH N T L IY,xpArxntli,47.35,9
741,apparition,AE P AH R IH SH IH N,ApxrISIn,0.76,8
742,appeal,AH P IY L,xpil,13.0,4
743,appealing,AH P IY L IH NG,xpilIG,3.18,6
744,appear,AH P IH R,xpIr,23.37,4
745,appearance,AH P IH R AH N S,xpIrxns,11.59,7
746,appease,AH P IY Z,xpiz,0.49,4
747,appeasement,AH P IY Z M AH N T,xpizmxnt,0.2,8
748,appellant,AH P EH L AH N T,xpElxnt,0.14,7
749,appendage,AH P EH N D IH JH,xpEndIJ,0.41,7
750,appendix,AH P EH N D IH K S,xpEndIks,2.61,8
751,appetite,AE P AH T AY T,ApxtYt,8.94,6
752,appetizing,AE P IH T AY Z IH NG,ApItYzIG,0.63,8
753,applaud,AH P L AO D,xplcd,2.14,5
754,applause,AH P L AO Z,xplcz,11.29,5
755,apple,AE P AH L,Apxl,23.67,4
756,applejack,AE P AH L JH AE K,ApxlJAk,0.57,7
757,appliance,AH P L AY IH N S,xplYIns,0.8,7
758,applicability,AE P L IH K AH B IH L IH T IY,AplIkxbIlIti,0.04,12
759,applicable,AE P L IH K AH B AH L,AplIkxbxl,0.27,9
760,applicant,AE P L IH K IH N T,AplIkInt,0.61,8
761,application,AE P L IH K EY SH IH N,AplIkeSIn,10.0,9
762,applicator,AE P L AH K EY T AH R,Aplxketxr,0.2,9
763,apply,AH P L AY,xplY,12.51,4
764,appoint,AH P OY N T,xpOnt,2.04,5
765,appointee,AH P OY N T IY,xpOnti,0.08,6
766,appointment,AH P OY N T M AH N T,xpOntmxnt,30.57,9
767,appraisal,AH P R EY Z AH L,xprezxl,0.76,7
768,appraise,AH P R EY Z,xprez,0.2,5
769,appraiser,AH P R EY Z AH R,xprezxr,0.22,7
770,appreciable,AH P R IY SH AH B AH L,xpriSxbxl,0.06,9
771,appreciably,AH P R IY SH AH B L IY,xpriSxbli,0.02,9
772,appreciate,AH P R IY SH IY EY T,xpriSiet,85.75,8
773,appreciation,AH P R IY SH IY EY SH AH N,xpriSieSxn,5.12,10
774,appreciative,AH P R IY SH IH T IH V,xpriSItIv,0.8,9
775,apprehend,AE P R EH HH EH N D,AprEhEnd,1.43,8
776,apprehension,AE P R IH HH EH N SH AH N,AprIhEnSxn,0.76,10
777,apprentice,AH P R EH N T IH S,xprEntIs,1.94,8
778,apprenticeship,AH P R EH N T AH S SH IH P,xprEntxsSIp,0.14,11
779,approach,AH P R OW CH,xproC,20.98,5
780,approachable,AH P R OW CH AH B AH L,xproCxbxl,0.08,9
781,appropriate,AH P R OW P R IY AH T,xproprixt,12.88,9
782,appropriately,AH P R OW P R IY IH T L IY,xpropriItli,1.08,11
783,appropriateness,AH P R OW P R IY AH T N AH S,xproprixtnxs,0.04,12
784,appropriation,AH P R OW P R IY EY SH IH N,xproprieSIn,0.16,11
785,approval,AH P R UW V AH L,xpruvxl,8.39,7
786,approve,AH P R UW V,xpruv,11.37,5
787,approximate,AH P R AA K S IH M AH T,xpraksImxt,1.25,10
788,approximately,AH P R AA K S AH M AH T L IY,xpraksxmxtli,7.45,12
789,approximation,AH P R AA K S IH M EY SH IH N,xpraksImeSIn,0.06,12
790,apricot,AE P R AH K AA T,Aprxkat,0.63,7
791,apron,EY P R AH N,eprxn,2.67,5
792,apropos,AE P R AH P OW,Aprxpo,0.33,6
793,apt,AE P T,Apt,1.75,3
794,aptitude,AE P T IH T UW D,AptItud,1.08,7
795,aptly,AE P T L IY,Aptli,0.39,5
796,aqueduct,AE K W AH D AH K T,Akwxdxkt,0.33,8
797,aqueous,EY K W IY AH S,ekwixs,0.1,6
798,arabesque,AE R AH B EH S K,ArxbEsk,0.1,7
799,arable,AE R AH B AH L,Arxbxl,0.02,6
800,arbiter,AA R B AH T AH R,arbxtxr,0.2,7
801,arbitrary,AA R B AH T R EH R IY,arbxtrEri,1.02,9
802,arbitrate,AA R B AH T R EY T,arbxtret,0.04,8
803,arbitration,AA R B AH T R EY SH IH N,arbxtreSIn,0.45,10
804,arboreal,AA R B OW R IY AH L,arborixl,0.12,8
805,arc,AA R K,ark,4.84,3
806,arcade,AA R K EY D,arked,2.18,5
807,arch,AA R CH,arC,3.69,3
812,archaeologist,AA R K IY AA L AH JH IH S T,arkialxJIst,1.12,11
813,archaeology,AA R K IY AA L AH JH IY,arkialxJi,0.76,9
814,archaic,AA R K EY IH K,arkeIk,0.69,6
815,archaism,AA R K IY IH Z AH M,arkiIzxm,0.04,8
816,archangel,AA R K EY N JH AH L,arkenJxl,0.43,8
817,archbishop,AA R CH B IH SH AH P,arCbISxp,3.69,8
818,archdiocese,AA R CH D AY AH S IY S,arCdYxsis,0.67,9
819,archenemy,AA R CH EH N AH M IY,arCEnxmi,0.25,8
824,archery,AA R CH AH R IY,arCxri,0.78,6
825,archipelago,AA R K AH P EH L AH G OW,arkxpElxgo,0.14,10
826,architect,AA R K IH T EH K T,arkItEkt,6.55,8
827,architectonic,AA R K AH T EH K T AA N IH K,arkxtEktanIk,0.02,12
828,architectural,AA R K IH T EH K CH AH R AH L,arkItEkCxrxl,1.27,12
829,architecture,AA R K IH T EH K CH AH R,arkItEkCxr,3.18,10
830,archive,AA R K AY V,arkYv,1.31,5
831,ardent,AA R D AH N T,ardxnt,0.59,6
832,ardor,AA R D AH R,ardxr,0.14,5
833,arduous,AA R JH UW AH S,arJuxs,0.67,6
834,area,AE R IY AH,Arix,74.92,4
835,arena,AH R IY N AH,xrinx,3.63,5
836,argon,AA R G AA N,argan,0.18,5
837,argot,AA R G OW,argo,0.02,4
838,argue,AA R G Y UW,argyu,19.75,5
839,argument,AA R G Y AH M AH N T,argyxmxnt,17.0,9
840,arid,AE R AH D,Arxd,0.31,4
841,aridity,AE R IH D IH T IY,ArIdIti,0.02,7
842,arise,AH R AY Z,xrYz,2.96,4
843,aristocracy,AE R IH S T AA K R IH S IY,ArIstakrIsi,0.63,11
844,aristocrat,AH R IH S T IH K R AE T,xrIstIkrAt,1.35,10
845,aristocratic,AH R IH S T IH K R AE T IH K,xrIstIkrAtIk,0.73,12
846,arithmetic,AH R IH TH M AH T IH K,xrITmxtIk,1.53,9
847,arithmetical,AE R IH TH M EH T IH K AH L,ArITmEtIkxl,0.04,11
848,arm,AA R M,arm,65.41,3
849,armada,AA R M AA D AH,armadx,1.08,6
850,armadillo,AA R M AH D IH L OW,armxdIlo,3.02,8
851,armament,AA R M AH M AH N T,armxmxnt,0.49,8
852,armchair,AA R M CH EH R,armCEr,0.41,6
853,armful,AA R M F UH L,armfUl,0.24,6
854,armistice,AA R M AH S T IH S,armxstIs,0.39,8
855,armload,AA R M L OW D,armlod,0.08,6
856,armoire,AA R M W AA R,armwar,0.16,6
857,armor,AA R M AH R,armxr,7.29,5
858,armory,AA R M AH R IY,armxri,1.86,6
859,armpit,AA R M P IH T,armpIt,1.25,6
860,army,AA R M IY,armi,85.69,4
861,aroma,AH R OW M AH,xromx,1.35,5
862,aromatic,AE R AH M AE T IH K,ArxmAtIk,0.27,8
863,around,AH R AW N D,xrWnd,736.73,5
864,arousal,AH R AW Z AH L,xrWzxl,0.37,6
865,arouse,AH R AW Z,xrWz,1.22,4
866,arpeggio,AA R P EH JH IY OW,arpEJio,0.02,7
867,arraign,AH R EY N,xren,0.14,4
868,arrange,AH R EY N JH,xrenJ,15.51,5
869,arrangement,AH R EY N JH M AH N T,xrenJmxnt,9.45,9
870,arranger,AH R EY N JH AH R,xrenJxr,0.22,7
871,array,AH R EY,xre,2.12,3
872,arrest,AH R EH S T,xrEst,59.55,5
873,arresting,AH R EH S T IH NG,xrEstIG,3.76,7
874,arrival,AH R AY V AH L,xrYvxl,8.27,6
875,arrive,AH R AY V,xrYv,18.69,4
876,arrogance,AE R AH G AH N S,Arxgxns,2.82,7
877,arrogant,AE R AH G IH N T,ArxgInt,5.22,7
878,arrow,AE R OW,Aro,7.84,3
879,arrowhead,AE R OW HH EH D,ArohEd,0.41,6
880,arroyo,AH R OY AH,xrOx,0.57,4
881,arsenal,AA R S N AH L,arsnxl,2.0,6
882,arsenic,AA R S AH N IH K,arsxnIk,1.24,7
883,arson,AA R S AH N,arsxn,3.0,5
884,art,AA R T,art,70.8,3
885,arterial,AA R T IH R IY AH L,artIrixl,1.33,8
886,arteriosclerosis,AA R T IH R IY OW S K L AH R OW S IH S,artIriosklxrosIs,0.02,16
887,artery,AA R T AH R IY,artxri,5.31,6
888,artful,AA R T F AH L,artfxl,0.18,6
889,arthritis,AA R TH R AY T IH S,arTrYtIs,1.94,8
890,article,AA R T IH K AH L,artIkxl,19.57,7
891,articulate,AA R T IH K Y UW L AH T,artIkyulxt,1.67,10
892,articulation,AA R T IH K Y UH L EY SH IH N,artIkyUleSIn,0.16,12
893,artifact,AA R T AH F AE K T,artxfAkt,1.1,8
894,artifice,AA R T IH F AH S,artIfxs,0.06,7
895,artificial,AA R T IH F IH SH AH L,artIfISxl,4.82,9
896,artificiality,AA R T AH F IH SH IY AE L IH T IY,artxfISiAlIti,0.1,13
897,artillery,AA R T IH L AH R IY,artIlxri,5.49,8
898,artisan,AA R T IH Z IH N,artIzIn,0.1,7
899,artist,AA R T IH S T,artIst,28.63,6
900,artistic,AA R T IH S T IH K,artIstIk,4.92,8
901,artistry,AA R T IH S T R IY,artIstri,0.47,8
902,artless,AA R T L AH S,artlxs,0.06,6
903,arty,AA R T IY,arti,1.08,4
904,as,AE Z,Az,2217.02,2
905,asbestos,AE S B EH S T AH S,AsbEstxs,1.29,8
906,ascend,AH S EH N D,xsEnd,0.92,5
907,ascendancy,AH S EH N D AH N S IY,xsEndxnsi,0.12,9
912,ascertain,AE S AH R T EY N,Asxrten,0.96,7
913,ascertainable,AE S AH R T EY N AH B AH L,Asxrtenxbxl,0.02,11
914,ascetic,AH S EH T IH K,xsEtIk,0.1,6
915,ascribe,AH S K R AY B,xskrYb,0.1,6
916,aseptic,EY S EH P T IH K,esEptIk,0.04,7
917,ash,AE SH,AS,9.2,2
918,ashamed,AH SH EY M D,xSemd,27.37,5
919,ashen,AE SH IH N,ASIn,0.18,4
920,ashtray,AE SH T R EY,AStre,3.25,5
921,aside,AH S AY D,xsYd,23.76,4
922,asinine,AE S AH N AY N,AsxnYn,0.96,6
923,ask,AE S K,Ask,483.14,3
924,asleep,AH S L IY P,xslip,49.82,5
925,asparagus,AH S P AE R AH G IH S,xspArxgIs,0.98,9
926,aspect,AE S P EH K T,AspEkt,3.86,6
927,aspen,AE S P AH N,Aspxn,1.88,5
928,asphalt,AE S F AO L T,Asfclt,0.96,6
929,aspirant,AE S P AH R AH N T,Aspxrxnt,0.02,8
930,aspiration,AE S P AH R EY SH IH N,AspxreSIn,0.57,9
931,aspire,AH S P AY R,xspYr,1.08,5
932,aspirin,AE S P AH R IH N,AspxrIn,7.75,7
933,ass,AE S,As,226.37,2
934,assail,AH S EY L,xsel,0.1,4
935,assailant,AH S EY L AH N T,xselxnt,1.47,7
936,assassin,AH S AE S AH N,xsAsxn,5.92,6
937,assassinate,AH S AE S AH N EY T,xsAsxnet,1.88,8
938,assassination,AH S AE S AH N EY SH AH N,xsAsxneSxn,5.51,10
939,assault,AH S AO L T,xsclt,17.57,5
940,assay,AE S EY,Ase,0.16,3
941,assemblage,AH S EH M B L IH JH,xsEmblIJ,0.12,8
942,assemble,AH S EH M B AH L,xsEmbxl,3.2,7
943,assembly,AH S EH M B L IY,xsEmbli,4.8,7
948,assert,AH S AH R T,xsxrt,0.84,5
949,assertion,AH S AH R SH IH N,xsxrSIn,0.27,7
950,assertive,AH S AH R T IH V,xsxrtIv,0.45,7
951,assertiveness,AH S AH R T IH V N EH S,xsxrtIvnEs,0.18,10
952,assess,AH S EH S,xsEs,1.63,4
953,assessment,AH S EH S M AH N T,xsEsmxnt,3.1,8
954,assessor,AH S EH S AH R,xsEsxr,0.22,6
955,asset,AE S EH T,AsEt,3.78,4
956,assign,AH S AY N,xsYn,2.71,4
957,assignment,AH S AY N M AH N T,xsYnmxnt,17.88,8
958,assimilate,AH S IH M AH L EY T,xsImxlet,0.51,8
959,assimilation,AH S IH M AH L EY SH AH N,xsImxleSxn,0.2,10
960,assist,AH S IH S T,xsIst,7.84,5
961,assistance,AH S IH S T AH N S,xsIstxns,10.94,8
962,assistant,AH S IH S T IH N T,xsIstInt,32.22,8
963,associate,AH S OW S IY EY T,xsosiet,8.98,7
964,association,AH S OW S IY EY SH IH N,xsosieSIn,8.12,9
965,assortment,AH S AO R T M AH N T,xscrtmxnt,0.73,9
966,assuage,AH S W EY JH,xsweJ,0.12,5
967,assume,AH S UW M,xsum,33.47,4
968,assumption,AH S AH M SH IH N,xsxmSIn,3.33,7
969,assurance,AH SH UH R AH N S,xSUrxns,2.04,7
970,assure,AH SH UH R,xSUr,20.02,4
971,aster,AE S T AH R,Astxr,0.2,5
972,asterisk,AE S T AH R IH S K,AstxrIsk,0.45,8
973,asteroid,AE S T AH R OY D,AstxrOd,1.69,7
974,asthma,AE Z M AH,Azmx,3.86,4
975,astonish,AH S T AA N IH SH,xstanIS,0.45,7
976,astonishing,AH S T AA N IH SH IH NG,xstanISIG,1.71,9
