Item,Pronunciation,Phonology,Frequency
ambivalence,AE M B IH V AH L AH N S,AmbIvxlxns,0.24
ambivalent,AE M B IH V AH L AH N T,AmbIvxlxnt,0.24
amble,AE M B AH L,Ambxl,0.1
ambrosial,AE M B R OW ZH AH L,AmbroZxl,0.02
ambulance,AE M B Y UH L AH N S,AmbyUlxns,22.41
ambulatory,AE M B Y UH L IH T OW R IY,AmbyUlItori,0.24
ambush,AE M B UH SH,AmbUS,5.43
amen,EY M EH N,emEn,25.98
amenable,AH M EH N AH B AH L,xmEnxbxl,0.18
amend,AH M EH N D,xmEnd,0.75
amendment,AH M EH N D M AH N T,xmEndmxnt,4.1
amiable,EY M IY AH B AH L,emixbxl,0.59
amicable,AE M IH K AH B AH L,AmIkxbxl,0.25
amicus,AH M IY K AH S,xmikxs,0.02
amid,AH M IH D,xmId,0.88
amidst,AH M IH D S T,xmIdst,0.69
amigo,AH M IY G OW,xmigo,5.08
amino,AH M IY N OW,xmino,0.61
amiss,AH M IH S,xmIs,0.75
amity,AE M AH T IY,Amxti,0.53
ammo,AE M OW,Amo,5.37
ammoniac,AH M OW N IY AE K,xmoniAk,0.02
ammonium,AH M OW N IY AH M,xmonixm,0.51
ammunition,AE M Y UW N IH SH IH N,AmyunISIn,5.88
among,AH M AH NG,xmxG,33.9
amongst,AH M AH NG S T,xmxGst,7.14
amoral,EY M AO R AH L,emcrxl,0.2
amorality,EY M AH R AE L IH T IY,emxrAlIti,0.04
amorous,AE M AH R AH S,Amxrxs,0.92
amorphous,AH M AO R F AH S,xmcrfxs,0.14
amortization,AE M AH R T AH Z EY SH IH N,AmxrtxzeSIn,0.14
amortize,AE M AH R T AY Z,AmxrtYz,0.08
amount,AH M AW N T,xmWnt,24.75
amp,AE M P,Amp,1.82
amphetamine,AE M F EH T AH M IY N,AmfEtxmin,0.29
amphibious,AE M F IH B IY AH S,AmfIbixs,0.59
amphitheater,AE M F AH TH IY AH T AH R,AmfxTixtxr,0.1
ample,AE M P AH L,Ampxl,1.82
amplification,AE M P L AH F AH K EY SH IH N,AmplxfxkeSIn,0.16
amplifier,AE M P L AH F AY AH R,AmplxfYxr,0.31
amplify,AE M P L AH F AY,AmplxfY,0.37
amplitude,AE M P L IH T UW D,AmplItud,0.12
amply,AE M P L IY,Ampli,0.35
amputate,AE M P Y UW T EY T,Ampyutet,0.86
amulet,AE M Y UH L AH T,AmyUlxt,2.31
amuse,AH M Y UW Z,xmyuz,2.61
amusement,AH M Y UW Z M AH N T,xmyuzmxnt,3.75
amusing,AH M Y UW Z IH NG,xmyuzIG,9.2
amusingly,AH M Y UW Z IH NG L IY,xmyuzIGli,0.08
an,AE N,An,1864.14
anachronism,AH N AE K R AH N IH Z AH M,xnAkrxnIzxm,0.1
anaconda,AE N AH K AA N D AH,Anxkandx,0.47
anaerobic,AE N AH R OW B IH K,AnxrobIk,0.08
anaesthesia,AE N IH S TH IY ZH AH,AnIsTiZx,0.29
anagram,AE N AH G R AE M,AnxgrAm,0.51
analeptic,AE N AH L EH P T IH K,AnxlEptIk,0.02
analogous,AH N AE L AH G IH S,xnAlxgIs,0.08
analogue,AE N AH L AO G,Anxlcg,0.1
analogy,AH N AE L AH JH IY,xnAlxJi,1.14
analysis,AH N AE L IH S IH S,xnAlIsIs,11.04
analyst,AE N AH L AH S T,Anxlxst,3.47
analytic,AE N AH L IH T IH K,AnxlItIk,0.08
analytical,AE N AH L IH T IH K AH L,AnxlItIkxl,0.59
analyzable,AE N AH L AY Z AH B AH L,AnxlYzxbxl,0.02
analyze,AE N AH L AY Z,AnxlYz,3.24
analyzer,AE N AH L AY Z AH R,AnxlYzxr,0.51
anarchic,AE N AA R K IH K,AnarkIk,0.04
anarchist,AE N AH R K IH S T,AnxrkIst,0.57
anarchy,AE N AH R K IY,Anxrki,2.02
anastomosis,AH N AE S T AH M OW S IH S,xnAstxmosIs,0.33
anatomic,AE N IH T AA M IH K,AnItamIk,0.08
anatomical,AE N AH T AA M IH K AH L,AnxtamIkxl,0.31
anatomy,AH N AE T AH M IY,xnAtxmi,3.2
ancestor,AE N S EH S T AH R,AnsEstxr,1.69
ancestral,AE N S EH S T R AH L,AnsEstrxl,0.57
ancestry,AE N S EH S T R IY,AnsEstri,0.47
anchor,AE NG K AH R,AGkxr,7.41
anchorage,AE NG K AH R IH JH,AGkxrIJ,0.71
anchovy,AE N CH OW V IY,AnCovi,0.14
ancient,EY N SH IH N T,enSInt,21.67
ancillary,AE N S AH L EH R IY,AnsxlEri,0.22
and,AE N D,And,13387.84
anecdotal,AE N IH K D OW T AH L,AnIkdotxl,0.37
anecdote,AE N IH K D OW T,AnIkdot,1.08
anemia,AH N IY M IY AH,xnimix,0.69
anemic,AH N IY M IH K,xnimIk,0.63
anesthetic,AE N IH S TH EH T IH K,AnIsTEtIk,1.33
angel,EY N JH AH L,enJxl,78.27
angelic,AE N JH EH L IH K,AnJElIk,0.57
angelica,AE N JH EH L AH K AH,AnJElxkx,1.67
anger,AE NG G AH R,AGgxr,19.43
angle,AE NG G AH L,AGgxl,14.92
angriest,AE NG G R IY AH S T,AGgrixst,0.16
angry,AE NG G R IY,AGgri,58.98
anguish,AE NG G W IH SH,AGgwIS,2.16
angular,AE NG G Y UH L AH R,AGgyUlxr,0.14
aniline,AE N AH L AH N,Anxlxn,0.12
animal,AE N IH M AH L,AnImxl,45.49
animate,AE N AH M EY T,Anxmet,0.06
animation,AE N AH M EY SH IH N,AnxmeSIn,1.22
animosity,AE N AH M AA S IH T IY,AnxmasIti,0.61
anion,AE N AY AH N,AnYxn,0.02
anise,AE N IH S,AnIs,0.06
ankle,AE NG K AH L,AGkxl,8.02
annal,AE N AH L,Anxl,0.02
annex,AH N EH K S,xnEks,0.84
annihilate,AH N AY AH L EY T,xnYxlet,0.71
annihilation,AH N AY AH L EY SH AH N,xnYxleSxn,0.8
anniversary,AE N AH V AH R S AH R IY,Anxvxrsxri,18.41
announce,AH N AW N S,xnWns,9.76
announcement,AH N AW N S M AH N T,xnWnsmxnt,10.29
announcer,AH N AW N S AH R,xnWnsxr,11.25
annoy,AH N OY,xnO,2.51
annoyance,AH N OY AH N S,xnOxns,0.49
annoying,AH N OY IH NG,xnOIG,11.12
annual,AE N Y UW AH L,Anyuxl,7.2
annum,AE N AH M,Anxm,0.1
anode,AE N OW D,Anod,0.16
anomalous,AH N AA M AH L AH S,xnamxlxs,0.33
anomaly,AH N AA M AH L IY,xnamxli,1.24
anonymity,AE N IH N IH M AH T IY,AnInImxti,0.9
anonymous,AH N AA N AH M AH S,xnanxmxs,8.41
anorexia,AE N AH R EH K S IY AH,AnxrEksix,0.25
another,AH N AH DH AH R,xnxDxr,509.22
answer,AE N S AH R,Ansxr,176.2
answerable,AE N S AH R AH B AH L,Ansxrxbxl,0.18
ant,AE N T,Ant,5.35
ant,AE N T,Ant,5.35
ant,AE N T,Ant,5.35
ant,AE N T,Ant,5.35
antagonism,AE N T AE G IH N IH Z AH M,AntAgInIzxm,0.22
antagonist,AE N T AE G IH N IH S T,AntAgInIst,0.25
antagonistic,AE N T AE G AH N IH S T IH K,AntAgxnIstIk,0.43
antagonize,AE N T AE G AH N AY Z,AntAgxnYz,0.53
ante,AE N T IY,Anti,2.18
anteater,AE N T IY T AH R,Antitxr,0.22
antecedent,AE N T IH S IY D AH N T,AntIsidxnt,0.06
antelope,AE N T AH L OW P,Antxlop,0.98
antenna,AE N T EH N AH,AntEnx,2.39
anterior,AE N T IH R IY AH R,AntIrixr,0.94
anthem,AE N TH AH M,AnTxm,1.88
anthology,AE N TH AA L AH JH IY,AnTalxJi,0.27
anthropological,AE N TH R AH P AH L AA JH IH K AH L,AnTrxpxlaJIkxl,0.51
anthropologist,AE N TH R AH P AA L AH JH IH S T,AnTrxpalxJIst,1.04
anthropology,AE N TH R AH P AA L AH JH IY,AnTrxpalxJi,1.31
anti,AE N T AY,AntY,0.51
antibiotic,AE N T IH B AY AA T IH K,AntIbYatIk,0.65
antibody,AE N T IH B AA D IY,AntIbadi,0.25
antic,AE N T IH K,AntIk,0.08
anticipate,AE N T IH S AH P EY T,AntIsxpet,2.53
anticipation,AE N T IH S AH P EY SH AH N,AntIsxpeSxn,2.49
anticipatory,AE N T IH S AH P AH T OW R IY,AntIsxpxtori,0.12
antidote,AE N T IH D OW T,AntIdot,4.33
antigen,AE N T IH JH AH N,AntIJxn,0.37
antipathy,AE N T IH P AH TH IY,AntIpxTi,0.08
antipodes,AE N T IH P AH D IY Z,AntIpxdiz,0.04
antiquarian,AE N T IH K W EH R IY AH N,AntIkwErixn,0.04
antiquated,AE N T IH K W EY T IH D,AntIkwetId,0.55
antique,AE N T IY K,Antik,6.06
antiquity,AE N T IH K W AH T IY,AntIkwxti,0.27
antiseptic,AE N T IH S EH P T IH K,AntIsEptIk,0.86
antiserum,AE N T IH S IH R AH M,AntIsIrxm,0.18
antisocial,AE N T IH S OW SH AH L,AntIsoSxl,0.8
antithesis,AE N T IH TH IH S IH S,AntITIsIs,0.31
antithetical,AE N T AH TH EH T IH K AH L,AntxTEtIkxl,0.04
anvil,AE N V AH L,Anvxl,0.63
anxiety,AE NG Z AY AH T IY,AGzYxti,6.76
anxious,AE NG SH IH S,AGSIs,14.1
any,EH N IY,Eni,1099.37
anybody,EH N IY B AA D IY,Enibadi,226.92
anyone,EH N IY W AH N,Eniwxn,255.25
anything,EH N IY TH IH NG,EniTIG,907.25
anywhere,EH N IY HH W AE R,EnihwAr,88.25
aorta,EY AO R T AH,ecrtx,1.53
apartheid,AH P AA R T EY T,xpartet,0.37
apartment,AH P AA R T M AH N T,xpartmxnt,83.04
apathetic,AE P AH TH EH T IH K,ApxTEtIk,0.35
apathy,AE P AH TH IY,ApxTi,0.47
ape,EY P,ep,9.67
aperture,AE P AH R CH AH R,ApxrCxr,0.27
apex,EY P EH K S,epEks,0.84
aplomb,AH P L AH M,xplxm,0.16
apocalypse,AH P AA K AH L IH P S,xpakxlIps,2.47
apocalyptic,AH P AA K AH L IH P T IH K,xpakxlIptIk,0.35
apogee,AE P AH JH IY,ApxJi,0.08
apologetic,AH P AA L AH JH EH T IH K,xpalxJEtIk,0.43
apologist,AH P AA L AH JH IH S T,xpalxJIst,0.02
apologize,AH P AA L AH JH AY Z,xpalxJYz,49.37
apology,AH P AA L AH JH IY,xpalxJi,15.76
apostate,AH P AA S T EY T,xpastet,0.06
apostle,AH P AA S AH L,xpasxl,1.39
apothecary,AH P AA TH AH K EH R IY,xpaTxkEri,0.39
apotheosis,AH P AA TH IY OW S IH S,xpaTiosIs,0.08
appalling,AH P AO L IH NG,xpclIG,1.94
appallingly,AH P AO L IH NG L IY,xpclIGli,0.06
apparatus,AE P AH R AE T IH S,ApxrAtIs,1.51
apparel,AH P AE R AH L,xpArxl,0.69
apparent,AH P AE R AH N T,xpArxnt,4.22
apparently,AH P AE R AH N T L IY,xpArxntli,47.35
apparition,AE P AH R IH SH IH N,ApxrISIn,0.76
appeal,AH P IY L,xpil,13
appealing,AH P IY L IH NG,xpilIG,3.18
appear,AH P IH R,xpIr,23.37
appearance,AH P IH R AH N S,xpIrxns,11.59
appease,AH P IY Z,xpiz,0.49
appeasement,AH P IY Z M AH N T,xpizmxnt,0.2
appellant,AH P EH L AH N T,xpElxnt,0.14
appendage,AH P EH N D IH JH,xpEndIJ,0.41
appendix,AH P EH N D IH K S,xpEndIks,2.61
appetite,AE P AH T AY T,ApxtYt,8.94
appetizing,AE P IH T AY Z IH NG,ApItYzIG,0.63
applaud,AH P L AO D,xplcd,2.14
applause,AH P L AO Z,xplcz,11.29
apple,AE P AH L,Apxl,23.67
applejack,AE P AH L JH AE K,ApxlJAk,0.57
appliance,AH P L AY IH N S,xplYIns,0.8
applicability,AE P L IH K AH B IH L IH T IY,AplIkxbIlIti,0.04
applicable,AE P L IH K AH B AH L,AplIkxbxl,0.27
applicant,AE P L IH K IH N T,AplIkInt,0.61
application,AE P L IH K EY SH IH N,AplIkeSIn,10
applicator,AE P L AH K EY T AH R,Aplxketxr,0.2
apply,AH P L AY,xplY,12.51
appoint,AH P OY N T,xpOnt,2.04
appointee,AH P OY N T IY,xpOnti,0.08
appointment,AH P OY N T M AH N T,xpOntmxnt,30.57
appraisal,AH P R EY Z AH L,xprezxl,0.76
appraise,AH P R EY Z,xprez,0.2
appraiser,AH P R EY Z AH R,xprezxr,0.22
appreciable,AH P R IY SH AH B AH L,xpriSxbxl,0.06
appreciably,AH P R IY SH AH B L IY,xpriSxbli,0.02
appreciate,AH P R IY SH IY EY T,xpriSiet,85.75
appreciation,AH P R IY SH IY EY SH AH N,xpriSieSxn,5.12
appreciative,AH P R IY SH IH T IH V,xpriSItIv,0.8
apprehend,AE P R EH HH EH N D,AprEhEnd,1.43
apprehension,AE P R IH HH EH N SH AH N,AprIhEnSxn,0.76
apprentice,AH P R EH N T IH S,xprEntIs,1.94
apprenticeship,AH P R EH N T AH S SH IH P,xprEntxsSIp,0.14
approach,AH P R OW CH,xproC,20.98
approachable,AH P R OW CH AH B AH L,xproCxbxl,0.08
appropriate,AH P R OW P R IY AH T,xproprixt,12.88
appropriately,AH P R OW P R IY IH T L IY,xpropriItli,1.08
appropriateness,AH P R OW P R IY AH T N AH S,xproprixtnxs,0.04
appropriation,AH P R OW P R IY EY SH IH N,xproprieSIn,0.16
approval,AH P R UW V AH L,xpruvxl,8.39
approve,AH P R UW V,xpruv,11.37
approximate,AH P R AA K S IH M AH T,xpraksImxt,1.25
approximately,AH P R AA K S AH M AH T L IY,xpraksxmxtli,7.45
approximation,AH P R AA K S IH M EY SH IH N,xpraksImeSIn,0.06
apricot,AE P R AH K AA T,Aprxkat,0.63
apron,EY P R AH N,eprxn,2.67
apropos,AE P R AH P OW,Aprxpo,0.33
apt,AE P T,Apt,1.75
aptitude,AE P T IH T UW D,AptItud,1.08
aptly,AE P T L IY,Aptli,0.39
aqueduct,AE K W AH D AH K T,Akwxdxkt,0.33
aqueous,EY K W IY AH S,ekwixs,0.1
arabesque,AE R AH B EH S K,ArxbEsk,0.1
arable,AE R AH B AH L,Arxbxl,0.02
arbiter,AA R B AH T AH R,arbxtxr,0.2
arbitrary,AA R B AH T R EH R IY,arbxtrEri,1.02
arbitrate,AA R B AH T R EY T,arbxtret,0.04
arbitration,AA R B AH T R EY SH IH N,arbxtreSIn,0.45
arboreal,AA R B OW R IY AH L,arborixl,0.12
arc,AA R K,ark,4.84
arcade,AA R K EY D,arked,2.18
arch,AA R CH,arC,3.69
archaeological,AA R K IY AH L AA JH IH K AH L,arkixlaJIkxl,0.94
archaeological,AA R K IY AH L AA JH IH K AH L,arkixlaJIkxl,0.94
archaeological,AA R K IY AH L AA JH IH K AH L,arkixlaJIkxl,0.94
archaeological,AA R K IY AH L AA JH IH K AH L,arkixlaJIkxl,0.94
archaeologist,AA R K IY AA L AH JH IH S T,arkialxJIst,1.12
archaeology,AA R K IY AA L AH JH IY,arkialxJi,0.76
archaic,AA R K EY IH K,arkeIk,0.69
archaism,AA R K IY IH Z AH M,arkiIzxm,0.04
archangel,AA R K EY N JH AH L,arkenJxl,0.43
archbishop,AA R CH B IH SH AH P,arCbISxp,3.69
archdiocese,AA R CH D AY AH S IY S,arCdYxsis,0.67
archenemy,AA R CH EH N AH M IY,arCEnxmi,0.25
archeological,AA R K IY AH L AA JH IH K AH L,arkixlaJIkxl,0.29
archeological,AA R K IY AH L AA JH IH K AH L,arkixlaJIkxl,0.29
archeological,AA R K IY AH L AA JH IH K AH L,arkixlaJIkxl,0.29
archeological,AA R K IY AH L AA JH IH K AH L,arkixlaJIkxl,0.29
archery,AA R CH AH R IY,arCxri,0.78
archipelago,AA R K AH P EH L AH G OW,arkxpElxgo,0.14
architect,AA R K IH T EH K T,arkItEkt,6.55
architectonic,AA R K AH T EH K T AA N IH K,arkxtEktanIk,0.02
architectural,AA R K IH T EH K CH AH R AH L,arkItEkCxrxl,1.27
architecture,AA R K IH T EH K CH AH R,arkItEkCxr,3.18
archive,AA R K AY V,arkYv,1.31
ardent,AA R D AH N T,ardxnt,0.59
ardor,AA R D AH R,ardxr,0.14
arduous,AA R JH UW AH S,arJuxs,0.67
area,AE R IY AH,Arix,74.92
arena,AH R IY N AH,xrinx,3.63
argon,AA R G AA N,argan,0.18
argot,AA R G OW,argo,0.02
argue,AA R G Y UW,argyu,19.75
argument,AA R G Y AH M AH N T,argyxmxnt,17
arid,AE R AH D,Arxd,0.31
aridity,AE R IH D IH T IY,ArIdIti,0.02
arise,AH R AY Z,xrYz,2.96
aristocracy,AE R IH S T AA K R IH S IY,ArIstakrIsi,0.63
aristocrat,AH R IH S T IH K R AE T,xrIstIkrAt,1.35
aristocratic,AH R IH S T IH K R AE T IH K,xrIstIkrAtIk,0.73
arithmetic,AH R IH TH M AH T IH K,xrITmxtIk,1.53
arithmetical,AE R IH TH M EH T IH K AH L,ArITmEtIkxl,0.04
arm,AA R M,arm,65.41
armada,AA R M AA D AH,armadx,1.08
armadillo,AA R M AH D IH L OW,armxdIlo,3.02
armament,AA R M AH M AH N T,armxmxnt,0.49
armchair,AA R M CH EH R,armCEr,0.41
armful,AA R M F UH L,armfUl,0.24
armistice,AA R M AH S T IH S,armxstIs,0.39
armload,AA R M L OW D,armlod,0.08
armoire,AA R M W AA R,armwar,0.16
armor,AA R M AH R,armxr,7.29
armory,AA R M AH R IY,armxri,1.86
armpit,AA R M P IH T,armpIt,1.25
army,AA R M IY,armi,85.69
aroma,AH R OW M AH,xromx,1.35
aromatic,AE R AH M AE T IH K,ArxmAtIk,0.27
around,AH R AW N D,xrWnd,736.73
arousal,AH R AW Z AH L,xrWzxl,0.37
arouse,AH R AW Z,xrWz,1.22
arpeggio,AA R P EH JH IY OW,arpEJio,0.02
arraign,AH R EY N,xren,0.14
arrange,AH R EY N JH,xrenJ,15.51
arrangement,AH R EY N JH M AH N T,xrenJmxnt,9.45
arranger,AH R EY N JH AH R,xrenJxr,0.22
array,AH R EY,xre,2.12
arrest,AH R EH S T,xrEst,59.55
arresting,AH R EH S T IH NG,xrEstIG,3.76
arrival,AH R AY V AH L,xrYvxl,8.27
arrive,AH R AY V,xrYv,18.69
arrogance,AE R AH G AH N S,Arxgxns,2.82
arrogant,AE R AH G IH N T,ArxgInt,5.22
arrow,AE R OW,Aro,7.84
arrowhead,AE R OW HH EH D,ArohEd,0.41
arroyo,AH R OY AH,xrOx,0.57
arsenal,AA R S N AH L,arsnxl,2
arsenic,AA R S AH N IH K,arsxnIk,1.24
arson,AA R S AH N,arsxn,3
art,AA R T,art,70.8
arterial,AA R T IH R IY AH L,artIrixl,1.33
arteriosclerosis,AA R T IH R IY OW S K L AH R OW S IH S,artIriosklxrosIs,0.02
artery,AA R T AH R IY,artxri,5.31
artful,AA R T F AH L,artfxl,0.18
arthritis,AA R TH R AY T IH S,arTrYtIs,1.94
article,AA R T IH K AH L,artIkxl,19.57
articulate,AA R T IH K Y UW L AH T,artIkyulxt,1.67
articulation,AA R T IH K Y UH L EY SH IH N,artIkyUleSIn,0.16
artifact,AA R T AH F AE K T,artxfAkt,1.1
artifice,AA R T IH F AH S,artIfxs,0.06
artificial,AA R T IH F IH SH AH L,artIfISxl,4.82
artificiality,AA R T AH F IH SH IY AE L IH T IY,artxfISiAlIti,0.1
artillery,AA R T IH L AH R IY,artIlxri,5.49
artisan,AA R T IH Z IH N,artIzIn,0.1
artist,AA R T IH S T,artIst,28.63
artistic,AA R T IH S T IH K,artIstIk,4.92
artistry,AA R T IH S T R IY,artIstri,0.47
artless,AA R T L AH S,artlxs,0.06
arty,AA R T IY,arti,1.08
as,AE Z,Az,2217.02
asbestos,AE S B EH S T AH S,AsbEstxs,1.29
ascend,AH S EH N D,xsEnd,0.92
ascendancy,AH S EH N D AH N S IY,xsEndxnsi,0.12
ascent,AH S EH N T,xsEnt,0.31
ascent,AH S EH N T,xsEnt,0.31
ascent,AH S EH N T,xsEnt,0.31
ascent,AH S EH N T,xsEnt,0.31
ascertain,AE S AH R T EY N,Asxrten,0.96
ascertainable,AE S AH R T EY N AH B AH L,Asxrtenxbxl,0.02
ascetic,AH S EH T IH K,xsEtIk,0.1
ascribe,AH S K R AY B,xskrYb,0.1
aseptic,EY S EH P T IH K,esEptIk,0.04
ash,AE SH,AS,9.2
ashamed,AH SH EY M D,xSemd,27.37
ashen,AE SH IH N,ASIn,0.18
ashtray,AE SH T R EY,AStre,3.25
aside,AH S AY D,xsYd,23.76
asinine,AE S AH N AY N,AsxnYn,0.96
ask,AE S K,Ask,483.14
asleep,AH S L IY P,xslip,49.82
asparagus,AH S P AE R AH G IH S,xspArxgIs,0.98
aspect,AE S P EH K T,AspEkt,3.86
aspen,AE S P AH N,Aspxn,1.88
asphalt,AE S F AO L T,Asfclt,0.96
aspirant,AE S P AH R AH N T,Aspxrxnt,0.02
aspiration,AE S P AH R EY SH IH N,AspxreSIn,0.57
aspire,AH S P AY R,xspYr,1.08
aspirin,AE S P AH R IH N,AspxrIn,7.75
ass,AE S,As,226.37
assail,AH S EY L,xsel,0.1
assailant,AH S EY L AH N T,xselxnt,1.47
assassin,AH S AE S AH N,xsAsxn,5.92
assassinate,AH S AE S AH N EY T,xsAsxnet,1.88
assassination,AH S AE S AH N EY SH AH N,xsAsxneSxn,5.51
assault,AH S AO L T,xsclt,17.57
assay,AE S EY,Ase,0.16
assemblage,AH S EH M B L IH JH,xsEmblIJ,0.12
assemble,AH S EH M B AH L,xsEmbxl,3.2
assembly,AH S EH M B L IY,xsEmbli,4.8
assent,AH S EH N T,xsEnt,0.08
assent,AH S EH N T,xsEnt,0.08
assent,AH S EH N T,xsEnt,0.08
assent,AH S EH N T,xsEnt,0.08
assert,AH S AH R T,xsxrt,0.84
assertion,AH S AH R SH IH N,xsxrSIn,0.27
assertive,AH S AH R T IH V,xsxrtIv,0.45
assertiveness,AH S AH R T IH V N EH S,xsxrtIvnEs,0.18
assess,AH S EH S,xsEs,1.63
assessment,AH S EH S M AH N T,xsEsmxnt,3.1
assessor,AH S EH S AH R,xsEsxr,0.22
asset,AE S EH T,AsEt,3.78
assign,AH S AY N,xsYn,2.71
assignment,AH S AY N M AH N T,xsYnmxnt,17.88
assimilate,AH S IH M AH L EY T,xsImxlet,0.51
assimilation,AH S IH M AH L EY SH AH N,xsImxleSxn,0.2
assist,AH S IH S T,xsIst,7.84
assistance,AH S IH S T AH N S,xsIstxns,10.94
assistant,AH S IH S T IH N T,xsIstInt,32.22
associate,AH S OW S IY EY T,xsosiet,8.98
association,AH S OW S IY EY SH IH N,xsosieSIn,8.12
assortment,AH S AO R T M AH N T,xscrtmxnt,0.73
assuage,AH S W EY JH,xsweJ,0.12
assume,AH S UW M,xsum,33.47
assumption,AH S AH M SH IH N,xsxmSIn,3.33
assurance,AH SH UH R AH N S,xSUrxns,2.04
assure,AH SH UH R,xSUr,20.02
aster,AE S T AH R,Astxr,0.2
asterisk,AE S T AH R IH S K,AstxrIsk,0.45
asteroid,AE S T AH R OY D,AstxrOd,1.69
asthma,AE Z M AH,Azmx,3.86
astonish,AH S T AA N IH SH,xstanIS,0.45
astonishing,AH S T AA N IH SH IH NG,xstanISIG,1.71
astonishingly,AH S T AA N IH SH IH NG L IY,xstanISIGli,0.25
astonishment,AH S T AA N IH SH M AH N T,xstanISmxnt,0.27
astound,AH S T AW N D,xstWnd,0.43
astounding,AH S T AW N D IH NG,xstWndIG,1.29
astral,AE S T R AH L,Astrxl,0.96
astride,AH S T R AY D,xstrYd,0.16
astringent,AH S T R IH N JH IH N T,xstrInJInt,0.12
astronaut,AE S T R AH N AO T,Astrxnct,3.96
astronomer,AH S T R AA N AH M AH R,xstranxmxr,0.71
astronomical,AE S T R AH N AA M IH K AH L,AstrxnamIkxl,0.73
astronomically,AE S T R AH N AA M IH K AH L L IY,AstrxnamIkxlli,0.06
astronomy,AH S T R AA N AH M IY,xstranxmi,1.31
astrophysics,AE S T R AH F IH Z IH K S,AstrxfIzIks,0.35
astute,AH S T UW T,xstut,1
astuteness,AH S T UW T N EH S,xstutnEs,0.02
asylum,AH S AY L AH M,xsYlxm,4.59
asymmetric,EY S AH M EH T R IH K,esxmEtrIk,0.04
asymmetry,EY S IH M IH T R IY,esImItri,0.06
at,AE T,At,3217.1
atavistic,AE T AH V IH S T IH K,AtxvIstIk,0.1
atheist,EY TH IY IH S T,eTiIst,1.08
atheistic,EY TH IY IH S T IH K,eTiIstIk,0.04
athlete,AE TH L IY T,ATlit,4.61
athletic,AE TH L EH T IH K,ATlEtIk,3.86
athleticism,AE TH L EH T IH S IH Z AH M,ATlEtIsIzxm,0.22
athletics,AE TH L EH T IH K S,ATlEtIks,0.63
atlas,AE T L AH S,Atlxs,1.02
atmosphere,AE T M AH S F IH R,AtmxsfIr,9.67
atmospheric,AE T M AH S F IH R IH K,AtmxsfIrIk,0.92
atom,AE T AH M,Atxm,2.75
atomic,AH T AA M IH K,xtamIk,4.88
atone,AH T OW N,xton,0.84
atonement,AH T OW N M AH N T,xtonmxnt,0.35
atop,AH T AA P,xtap,1.02
atrociously,AH T R OW SH AH S L IY,xtroSxsli,0.12
atrocity,AH T R AA S IH T IY,xtrasIti,0.63
atrophy,AE T R AH F IY,Atrxfi,0.41
attach,AH T AE CH,xtAC,2.47
attachment,AH T AE CH M AH N T,xtACmxnt,1.16
attack,AH T AE K,xtAk,75.55
attacker,AH T AE K AH R,xtAkxr,1.43
attain,AH T EY N,xten,0.92
attainment,AH T EY N M AH N T,xtenmxnt,0.06
attempt,AH T EH M P T,xtEmpt,19.12
attend,AH T EH N D,xtEnd,14.02
attendance,AH T EH N D IH N S,xtEndIns,2.65
attendant,AH T EH N D AH N T,xtEndxnt,3.1
attention,AH T EH N CH IH N,xtEnCIn,98.67
attentive,AH T EH N T IH V,xtEntIv,1.29
attest,AH T EH S T,xtEst,0.43
attic,AE T IH K,AtIk,7.84
attire,AH T AY R,xtYr,1.49
attitude,AE T IH T UW D,AtItud,26.08
attorney,AH T AH R N IY,xtxrni,40.39
attract,AH T R AE K T,xtrAkt,5.69
attraction,AH T R AE K SH IH N,xtrAkSIn,6.82
attractive,AH T R AE K T IH V,xtrAktIv,24.63
attributable,AH T R IH B Y UW T AH B AH L,xtrIbyutxbxl,0.1
attribute,AE T R AH B Y UW T,Atrxbyut,0.88
attrition,AH T R IH SH IH N,xtrISIn,0.18
attune,AH T UW N,xtun,0.02
atypical,EY T IH P IH K AH L,etIpIkxl,0.37
auburn,AO B AH R N,cbxrn,0.57
auction,AO K SH IH N,ckSIn,8.9
auctioneer,AO K SH IH N IH R,ckSInIr,0.47
audacity,AO D AE S IH T IY,cdAsIti,0.94
audible,AO D IH B AH L,cdIbxl,0.71
audience,AO D IY AH N S,cdixns,25.37
audio,AO D IY OW,cdio,5.57
audit,AO D IH T,cdIt,1.12
audition,AO D IH SH IH N,cdISIn,13.82
auditor,AO D IH T AH R,cdItxr,0.47
auditorium,AO D IH T OW R IY AH M,cdItorixm,1.57
augment,AO G M EH N T,cgmEnt,0.37
augur,AO G AH R,cgxr,0.02
august,AO G AH S T,cgxst,10.2
aunt,AE N T,Ant,55.2
aunt,AE N T,Ant,55.2
aunt,AE N T,Ant,55.2
aunt,AE N T,Ant,55.2
aura,AO R AH,crx,1.82
aural,AO R AH L,crxl,0.08
auspicious,AO S P IH SH IH S,cspISIs,0.51
austere,AO S T IH R,cstIr,0.22
austerity,AO S T EH R AH T IY,cstErxti,0.1
authentic,AO TH EH N T IH K,cTEntIk,4.51
authenticate,AO TH EH N T IH K EY T,cTEntIket,0.61
authentication,AO TH EH N T AH K EY SH AH N,cTEntxkeSxn,0.27
authenticity,AO TH EH N T IH S IH T IY,cTEntIsIti,1.16
author,AO TH AH R,cTxr,7.94
